"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2012","125,000","123,000","123,000","123,000","0.01K","-3.10%"
"04/01/2012","129,000","129,000","129,000","129,000","","5.74%"
"03/01/2012","122,000","122,000","122,000","122,000","0.00K","4.27%"
"02/01/2012","117,000","117,000","117,000","117,000","0.00K","1.74%"
"01/01/2012","115,000","112,000","115,000","112,000","0.00K","3.14%"
"12/01/2011","111,500","111,500","111,500","111,500","","2.29%"
"11/01/2011","109,000","109,000","109,000","109,000","0.00K","4.81%"
"10/01/2011","104,000","97,000","104,000","96,000","0.04K","4.10%"
"09/01/2011","99,900","97,010","110,000","97,010","0.07K","2.99%"
"08/01/2011","97,000","105,000","105,000","97,000","0.10K","-7.62%"
"07/01/2011","105,000","105,000","107,000","102,000","0.03K","-2.78%"
"06/01/2011","108,000","112,000","113,500","107,000","0.03K","-11.11%"
"05/01/2011","121,500","107,500","121,500","107,500","0.04K","1.25%"
"04/01/2011","120,000","120,000","120,000","120,000","","0.00%"
"03/01/2011","120,000","125,000","125,000","125,000","0.00K","-9.43%"
"02/01/2011","132,500","135,000","135,500","129,500","0.04K","-2.21%"
"01/01/2011","135,500","138,000","142,800","138,000","0.03K","-0.37%"
"12/01/2010","136,000","136,000","136,000","136,000","","6.83%"
"11/01/2010","127,300","122,500","130,500","122,500","0.05K","6.08%"
"10/01/2010","120,000","107,500","121,000","107,500","0.23K","13.21%"
"09/01/2010","106,000","96,300","106,000","96,300","0.02K","10.07%"
"08/01/2010","96,300","90,500","97,500","90,500","0.04K","7.60%"
"07/01/2010","89,500","82,000","90,250","81,000","0.06K","10.49%"
"06/01/2010","81,000","78,000","82,000","76,000","0.03K","6.58%"
"05/01/2010","76,000","76,000","76,000","75,950","0.02K","-10.06%"
"04/01/2010","84,500","83,000","86,500","83,000","0.03K","1.81%"
"03/01/2010","83,000","81,250","83,000","81,250","0.06K","5.30%"
"02/01/2010","78,820","75,000","79,800","75,000","0.03K","4.40%"
"01/01/2010","75,500","72,000","77,000","72,000","0.08K","7.86%"
"12/01/2009","70,000","70,000","70,000","70,000","0.00K","11.11%"
"11/01/2009","63,000","60,500","64,000","57,000","0.05K","13.15%"
"10/01/2009","55,680","50,000","59,500","50,000","0.08K","13.63%"
"09/01/2009","49,000","52,000","52,000","48,500","0.10K","-7.89%"
"08/01/2009","53,200","55,110","57,000","54,800","0.07K","-4.32%"
"07/01/2009","55,600","63,000","63,500","55,500","0.16K","-15.76%"
"06/01/2009","66,000","76,000","76,000","67,000","0.09K","-12.00%"
"05/01/2009","75,000","75,000","75,000","75,000","","10.29%"
"04/01/2009","68,000","66,000","68,000","65,100","0.03K","3.03%"
"03/01/2009","66,000","64,700","66,000","64,700","0.03K","2.55%"
